municipality,name,iata_code,coordinates
Utirik Island,Utirik Airport,UTK,"11.222219, 169.851429"
Key Largo,Ocean Reef Club Airport,OCA,"25.325399, -80.274803"
Crested Butte,Crested Butte Airpark,CSE,"38.851918, -106.928341"
Columbus,Columbus Airport,CUS,"31.823898, -107.629924"
Stonewall,LBJ Ranch Airport,JCY,"30.251801, -98.622498"
Loring,Loring Seaplane Base,WLR,"55.601299, -131.636993"
Nunapitchuk,Nunapitchuk Airport,NUP,"60.905591, -162.440454"
Port Alice,Port Alice Seaplane Base,PTC,"55.803, -133.597"
Icy Bay,Icy Bay Airport,ICY,"59.966269, -141.660118"
Port Protection,Port Protection Seaplane Base,PPV,"56.3288, -133.610001"
Kalakaket Creek,Kalakaket Creek AS Airport,KKK,"64.4166256967, -156.820392609"
Dunsmuir,Dunsmuir Muni-Mott Airport,MHS,"41.263199, -122.272003"
Beeville,Chase Field Industrial Airport,NIR,"28.362444, -97.661917"
Littlefield,Grand Canyon Bar Ten Airstrip,GCT,"36.257984, -113.231063"
Ellamar,Ellamar Seaplane Base,ELW,"60.893818, -146.704038"
Lime Village,Lime Village Airport,LVD,"61.3591003418, -155.440002441"
Hogatza,Hog River Airport,HGZ,"66.176133, -155.684816"
Oaktown,Ed-Air Airport,OTN,"38.851782, -87.49987"
Telida,Telida Airport,TLF,"63.393902, -153.268997"
Brazoria,Eagle Air Park,BZT,"28.982200622559, -95.579696655273"
Entrance Island,Entrance Island Seaplane Base,HBH,"57.412201, -133.43848"
False Island,False Island Seaplane Base,FAK,"57.5321998596, -135.212997437"
Blakely Island,Blakely Island Airport,BYW,"48.579162, -122.823844"
Kenai,Drift River Airport,DRF,"60.588901519800004, -152.162002563"
Bradford,Rinkenberger Restricted Landing Area,BDF,"41.230899810800004, -89.61569976810001"
Tetlin,Tetlin Airport,TEH,"63.124618, -142.518005"
Versailles,Roy Otten Memorial Airfield,VRS,"38.427799224854, -92.875198364258"
Golden Horn Lodge,Golden Horn Lodge Seaplane Base,GDH,"59.7470016479, -158.875"
Atmautluak,Atmautluak Airport,ATT,"60.866699, -162.272996"
Livengood,Livengood Camp Airport,LIV,"65.467, -148.6534"
